time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444700000	3.03234e+06	5.63597e+06	-3.57595e-13	9.44374e-13	1.1682e-11	lidar	1	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	3.61336e+06	6.71586e+06	1.66773e-12	2.03751e-12	3.28244e-12	radar	3.16697	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	7.22673e+06	1.34317e+07	1.02104e-12	4.1493e-12	1.0382e-11	lidar	1	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	8.59171e+06	1.59687e+07	1.26517e-12	5.39239e-12	4.12102e-12	radar	3.15605	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	1.71834e+07	3.19374e+07	-6.52331e-12	1.11933e-11	1.79374e-11	lidar	1	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	2.05385e+07	3.81733e+07	3.89891e-12	1.56362e-11	2.34451e-11	radar	3.14493	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	4.10771e+07	7.63465e+07	-4.76747e-12	3.40294e-11	8.25865e-11	lidar	1	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	4.97255e+07	9.24207e+07	-2.44125e-11	4.19401e-11	5.45901e-11	radar	3.14762	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	9.9451e+07	1.84841e+08	-2.36417e-11	8.87911e-11	1.51176e-10	lidar	1	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	1.19725e+08	2.22524e+08	-1.59277e-11	1.13355e-10	-4.19973e-11	radar	3.16577	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	2.39451e+08	4.45047e+08	4.02225e-11	2.3104e-10	-1.72058e-10	lidar	1	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	2.83498e+08	5.26915e+08	-5.01906e-11	2.62421e-10	-7.35891e-11	radar	3.16957	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	5.66997e+08	1.05383e+09	1.73805e-11	5.27584e-10	-2.99004e-10	lidar	1	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	6.82731e+08	1.26894e+09	-3.48391e-10	6.54306e-10	-4.5653e-10	radar	3.14749	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	1.36546e+09	2.53787e+09	-4.1425e-10	1.32122e-09	-8.92313e-10	lidar	1	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	1.60537e+09	2.98377e+09	-3.25021e-10	1.57226e-09	-5.53351e-11	radar	3.15659	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	3.21074e+09	5.96753e+09	-8.64332e-10	3.08908e-09	1.10406e-09	lidar	1	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
