time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.693141	0.568671	7.21656	-1.39987e-17	1.11139e-17	radar	73.9863	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16666	0.486146	7.22621	-0.0314481	-0.00257941	lidar	2.20208	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25815	0.542713	7.07914	0.0305099	-0.00116354	radar	2.55264	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61984	0.583667	7.07846	0.0884896	0.016904	lidar	0.863371	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8577	0.56215	5.93711	0.00406074	-0.158354	radar	6.52157	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16557	0.585677	5.93041	0.0205882	-0.125024	lidar	1.38832	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.38003	0.639157	5.48824	0.0636163	-0.148479	radar	5.35348	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65307	0.65778	5.48753	0.0589871	-0.140273	lidar	0.0228721	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91861	0.656155	5.42097	0.0292154	-0.2266	radar	0.215962	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15118	0.656918	5.37552	0.0209181	-0.217928	lidar	6.71746	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.4372	0.561156	5.41238	-0.110149	-0.581048	radar	1.7968	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74165	0.457016	5.49494	-0.223602	-0.816723	lidar	14.4313	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02023	0.528446	5.50664	-0.112924	-0.411353	radar	3.37634	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29392	0.522083	5.49151	-0.107157	-0.348029	lidar	1.05642	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55091	0.562476	5.35809	-0.0625614	-0.211567	radar	1.5151	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73181	0.674811	5.15375	0.0424882	0.0299909	lidar	68.8539	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98297	0.673323	5.0515	0.0332841	0.0098294	radar	1.19153	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28257	0.665341	5.13338	0.0185881	-0.0185821	lidar	21.5095	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54314	0.671103	5.25218	0.0199195	-0.0140364	radar	1.87924	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84002	0.683557	5.30919	0.0228052	-0.00833347	lidar	13.1298	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08071	0.611481	5.15254	-0.0305665	-0.0939865	radar	3.53986	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.3331	0.722	5.13387	0.041955	0.0248261	lidar	15.5488	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58288	0.753846	5.08819	0.0562994	0.0441646	radar	0.289496	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82837	0.750809	5.07538	0.0482367	0.0295226	lidar	1.2734	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06926	0.735235	4.92146	0.0331459	0.00579391	radar	2.01218	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28294	0.816894	4.86855	0.0764565	0.0644892	lidar	13.9311	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58207	0.828447	5.14989	0.0737051	0.056485	radar	5.31568	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.835	0.806164	5.14167	0.0540583	0.0271223	lidar	2.66981	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08275	0.823991	5.00264	0.0572724	0.0288069	radar	2.17549	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.3185	0.840328	4.97989	0.0602217	0.0308549	lidar	1.96308	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59229	0.928562	5.22346	0.0992665	0.0793318	radar	6.69106	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83322	0.987079	5.19508	0.120371	0.101164	lidar	4.03156	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12524	1.02666	5.26095	0.127771	0.103742	radar	6.77727	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36498	1.05923	5.22583	0.133178	0.104246	lidar	4.75799	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64609	1.13348	5.29439	0.156328	0.126642	radar	4.3248	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92461	1.26207	5.34219	0.203782	0.17818	lidar	16.7075	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1696	1.35216	5.15827	0.232367	0.204769	radar	4.83329	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3914	1.4317	5.11659	0.253625	0.219026	lidar	8.10989	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6201	1.51267	4.92825	0.275746	0.235315	radar	3.02128	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8391	1.5417	4.8833	0.270214	0.213831	lidar	7.2213	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1083	1.59433	5.02748	0.269873	0.19849	radar	2.42125	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3893	1.64119	5.08261	0.265928	0.180644	lidar	15.4716	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6191	1.69642	5.0027	0.271022	0.176291	radar	0.647749	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8468	1.7603	4.97999	0.279155	0.175515	lidar	1.91033	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1058	1.8532	5.13515	0.295513	0.183699	radar	1.52585	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3501	1.88102	5.10902	0.281872	0.154983	lidar	3.24803	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6078	1.94415	5.2093	0.282862	0.145355	radar	0.711498	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8094	2.07911	5.16443	0.324631	0.188786	lidar	20.6882	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0792	2.19291	5.33532	0.343536	0.198665	radar	2.70947	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2858	2.33437	5.29498	0.382377	0.234987	lidar	16.6127	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4591	2.47718	5.0149	0.427685	0.28219	radar	11.0227	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7093	2.59206	5.05821	0.442996	0.283593	lidar	6.77326	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9284	2.70402	5.02733	0.459838	0.287511	radar	0.140032	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1574	2.85813	5.06768	0.492161	0.309707	lidar	3.41177	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4095	2.97489	5.23256	0.496837	0.292098	radar	1.3455	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6163	3.04088	5.14602	0.487978	0.263169	lidar	15.6147	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8484	3.20254	5.26429	0.515717	0.279104	radar	3.41677	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0602	3.39636	5.29881	0.559974	0.316626	lidar	4.02808	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2691	3.5651	5.20875	0.593521	0.342639	radar	2.64148	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4847	3.75158	5.25107	0.627188	0.363049	lidar	2.57554	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6947	3.88628	5.21506	0.636973	0.35323	radar	1.07022	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9174	4.02468	5.215	0.643925	0.340032	lidar	1.51812	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1119	4.18166	5.08246	0.667781	0.353822	radar	1.51345	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
