time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1664	1.36862	5.17997	0.249701	0.237586	radar	4.71805	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3891	1.4469	5.14069	0.270389	0.250105	lidar	7.78779	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6172	1.53422	4.97816	0.296831	0.273141	radar	3.1951	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8388	1.5579	4.93241	0.286037	0.240229	lidar	8.26568	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1073	1.6106	5.04385	0.283619	0.21835	radar	2.39132	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3887	1.65198	5.09206	0.274589	0.190743	lidar	15.816	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6186	1.70831	5.02051	0.279486	0.185476	radar	0.704016	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8471	1.76958	4.9974	0.285495	0.181147	lidar	2.07068	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1052	1.86388	5.12829	0.302238	0.189312	radar	1.50038	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.35	1.88611	5.10053	0.283359	0.150972	lidar	3.5873	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6079	1.94778	5.1891	0.282364	0.137519	radar	0.806239	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8081	2.08566	5.14925	0.328188	0.190149	lidar	20.265	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0774	2.1998	5.30567	0.346926	0.199095	radar	2.86143	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2825	2.34255	5.26951	0.388449	0.241663	lidar	15.9219	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4552	2.4937	5.04269	0.441147	0.304141	radar	10.8063	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7063	2.60453	5.08042	0.45351	0.300153	lidar	6.87997	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9249	2.71944	5.05178	0.471678	0.305469	radar	0.138811	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1541	2.87159	5.088	0.503437	0.327243	lidar	2.9423	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4062	2.98625	5.22522	0.50435	0.299759	radar	1.45291	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6144	3.04709	5.13941	0.490764	0.262173	lidar	16.1103	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8459	3.20956	5.24782	0.518914	0.278449	radar	3.43976	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0561	3.40383	5.2823	0.565372	0.321612	lidar	3.49051	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2642	3.5768	5.22157	0.602389	0.355256	radar	2.5307	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4797	3.76147	5.25991	0.635699	0.375728	lidar	2.32297	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6899	3.8971	5.22948	0.644758	0.363538	radar	1.11333	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9139	4.03145	5.22468	0.648289	0.344212	lidar	1.77946	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1075	4.1927	5.1178	0.67554	0.365967	radar	1.58579	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3043	4.38551	5.1531	0.707549	0.383964	lidar	1.46933	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.515	4.55114	5.19435	0.719192	0.37141	radar	0.698963	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6931	4.71227	5.16125	0.736608	0.369933	lidar	3.76094	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8441	4.89705	4.96761	0.78181	0.422753	radar	3.57807	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0052	5.12383	5.01812	0.826973	0.454187	lidar	2.36368	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1767	5.28692	4.98186	0.839926	0.442619	radar	1.57622	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3338	5.46389	4.96034	0.859856	0.439777	lidar	1.09487	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4921	5.62294	4.89032	0.872578	0.43101	radar	2.88457	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6843	5.7377	4.82078	0.854404	0.37961	lidar	7.2636	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8307	5.92428	4.76176	0.882559	0.398245	radar	0.631273	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0021	6.12012	4.80045	0.899575	0.394635	lidar	7.13672	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1547	6.32464	4.84774	0.921506	0.395068	radar	0.866327	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2734	6.57341	4.90715	0.969718	0.431877	lidar	3.36803	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4067	6.78466	4.90471	0.996489	0.440575	radar	0.242236	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5553	6.91296	4.7938	0.984375	0.396708	lidar	7.58678	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7073	7.11893	4.87986	0.991964	0.371964	radar	0.803311	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9071	7.25337	4.82096	0.962455	0.310703	lidar	21.9629	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9975	7.44416	4.67419	1.00078	0.353172	radar	3.69939	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.083	7.72635	4.78222	1.06071	0.407463	lidar	7.59649	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2068	7.9291	4.79932	1.07258	0.392729	radar	0.279768	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2837	8.15161	4.7916	1.10844	0.412976	lidar	9.20679	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3847	8.36005	4.81845	1.12246	0.396395	radar	2.16581	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4812	8.50044	4.67855	1.12046	0.368411	lidar	20.6974	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5753	8.7018	4.63183	1.14121	0.375947	radar	0.449185	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7373	8.87807	4.61159	1.12388	0.331097	lidar	27.264	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8138	9.09235	4.55536	1.15698	0.361489	radar	0.985078	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9405	9.33113	4.63034	1.16899	0.354708	lidar	25.2617	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9889	9.54394	4.52172	1.21411	0.405653	radar	2.36869	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0708	9.7971	4.59882	1.24338	0.417444	lidar	7.61991	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1321	10.0502	4.69619	1.27164	0.418394	radar	7.42394	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.175	10.3389	4.80523	1.31842	0.450836	lidar	5.3988	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1901	10.5742	4.73643	1.36983	0.502082	radar	2.69971	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2445	10.8578	4.8384	1.40216	0.511225	lidar	15.2341	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2714	11.1217	4.90702	1.43265	0.510415	radar	4.87073	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3063	11.3584	4.89532	1.45504	0.506654	lidar	0.0625788	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2496	11.6074	4.79464	1.53881	0.612	radar	9.80287	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3225	11.8424	4.78933	1.53986	0.576799	lidar	37.2203	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.35	12.0785	4.86158	1.53761	0.507895	radar	4.08201	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3325	12.3759	4.97451	1.57921	0.526959	lidar	4.75815	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2811	12.6136	4.89287	1.6412	0.597253	radar	2.84591	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3094	12.8454	4.86048	1.64949	0.571922	lidar	14.5374	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2999	13.0728	4.82533	1.67218	0.566199	radar	2.11544	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2677	13.2779	4.75561	1.69975	0.565318	lidar	6.64688	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2307	13.5121	4.77386	1.72298	0.549242	radar	1.33558	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2079	13.7755	4.8263	1.74475	0.542633	lidar	10.4895	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1542	13.9995	4.78752	1.7806	0.562012	radar	0.773355	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0959	14.2601	4.84642	1.8113	0.565149	lidar	2.40337	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0244	14.4891	4.84605	1.84161	0.563965	radar	1.35111	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9108	14.752	4.93425	1.88788	0.585026	lidar	5.95577	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8461	14.9681	4.90956	1.90055	0.548025	radar	3.43232	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8229	15.1768	4.82469	1.90529	0.522103	lidar	14.8201	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.693	15.3804	4.73498	1.98799	0.649742	radar	7.57793	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6731	15.554	4.59097	1.99191	0.616922	lidar	20.5191	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5868	15.7514	4.56811	2.01468	0.599783	radar	1.2914	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4779	15.9712	4.60495	2.04627	0.601552	lidar	0.500052	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.381	16.176	4.61562	2.05747	0.555831	radar	1.85573	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2724	16.3531	4.5648	2.08725	0.558261	lidar	2.94371	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1592	16.5448	4.55105	2.11653	0.562557	radar	0.22813	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0203	16.7671	4.62642	2.1473	0.565362	lidar	1.75145	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8624	16.959	4.63715	2.21329	0.653968	radar	6.52857	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6721	17.2137	4.82496	2.25173	0.659662	lidar	10.1419	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5756	17.4162	4.78998	2.22499	0.530352	radar	6.09122	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3517	17.6208	4.91266	2.27385	0.554177	lidar	24.9182	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2142	17.8146	4.9027	2.27304	0.489324	radar	2.09021	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0884	17.9971	4.85314	2.28699	0.478151	lidar	6.47205	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9129	18.1488	4.81586	2.33488	0.528778	radar	2.23315	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7937	18.2805	4.68011	2.35485	0.522282	lidar	4.75618	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.665	18.4572	4.64677	2.3611	0.491018	radar	6.50078	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4609	18.6498	4.75167	2.38914	0.494351	lidar	2.64738	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2826	18.7874	4.72041	2.42713	0.521723	radar	1.83058	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1266	18.92	4.65305	2.45138	0.520043	lidar	1.08564	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9593	19.0904	4.66805	2.46291	0.496363	radar	2.99844	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7392	19.2094	4.68715	2.50423	0.514554	lidar	20.5947	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5461	19.365	4.72327	2.52953	0.520995	radar	3.27165	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3092	19.5367	4.84781	2.55491	0.519086	lidar	3.66004	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0876	19.6174	4.81364	2.6094	0.567589	radar	10.1347	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.879	19.7634	4.84986	2.6296	0.558162	lidar	5.2183	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6944	19.8862	4.78482	2.63091	0.495906	radar	3.2206	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4542	20.0471	4.89809	2.64712	0.484896	lidar	6.56663	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2346	20.1949	4.9428	2.65716	0.461939	radar	5.49624	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0547	20.3208	4.88791	2.66854	0.449808	lidar	13.7671	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8225	20.4033	4.88832	2.70866	0.481147	radar	2.22799	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6091	20.5209	4.89172	2.72523	0.472933	lidar	4.33424	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3669	20.6109	4.93268	2.76347	0.506546	radar	1.24788	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.122	20.6829	4.94278	2.79654	0.514924	lidar	5.14691	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8812	20.7565	4.96389	2.83285	0.539705	radar	0.308913	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6025	20.8212	5.03568	2.86785	0.547451	lidar	10.3613	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3507	20.8539	5.05873	2.9231	0.607487	radar	2.14429	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1107	20.8885	5.02931	2.95863	0.613734	lidar	1.3017	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8787	20.9484	5.00231	2.97798	0.594992	radar	1.87909	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6959	20.9812	4.87145	3.00487	0.595043	lidar	13.6364	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4391	21.0248	4.9148	3.03086	0.590975	radar	2.52201	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.193	21.0605	4.92622	3.05592	0.585604	lidar	1.0159	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9559	21.08	4.91984	3.08684	0.592774	radar	0.93095	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.72	21.0458	4.87469	3.13359	0.613379	lidar	13.1451	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.475	21.0318	4.8682	3.16848	0.616965	radar	1.05523	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2676	21.0208	4.79546	3.2002	0.62007	lidar	4.17232	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0141	20.9821	4.81535	3.23906	0.627842	radar	4.1079	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8123	20.9403	4.73478	3.2782	0.639271	lidar	1.94285	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5683	20.9383	4.6806	3.28051	0.575989	radar	5.68689	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2678	20.976	4.83627	3.2736	0.529327	lidar	20.8713	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0306	20.9567	4.83034	3.29274	0.518968	radar	1.01104	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.8508	20.914	4.71182	3.32574	0.530532	lidar	9.15327	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.62451	20.9024	4.62893	3.32412	0.472493	radar	1.92163	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.44048	20.8508	4.54188	3.35573	0.484109	lidar	3.55068	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.22832	20.8047	4.54139	3.38226	0.492779	radar	1.4362	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90687	20.7853	4.74544	3.37759	0.45342	lidar	13.1431	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70037	20.7022	4.71667	3.41763	0.480606	radar	4.39533	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
